-6.1154916,-9.8206190,2.7931205
-6.1583454,-9.6149349,2.8446153
-6.1881486,-9.4106350,2.8961102
-6.2048115,-9.2110152,2.9476050
-6.2082442,-9.0193715,2.9990999
-6.1971847,-8.8267701,3.0777384
-6.1676413,-8.6244413,3.2116836
-6.1237524,-8.4332923,3.3456289
-6.0695440,-8.2468021,3.4795741
-6.0124167,-8.0692224,3.6194036
-5.9535032,-7.8974209,3.7656203
-5.8854311,-7.7168054,3.9118370
-5.8042213,-7.5241875,4.0580537
-5.7090588,-7.3227156,4.1972956
-5.6232720,-7.1555646,4.2846966
-5.5308431,-6.9806545,4.3720976
-5.4362847,-6.8001703,4.4594986
-5.3441097,-6.6162973,4.5468996
-5.2588306,-6.4312207,4.6343006
-5.1825271,-6.2405505,4.7028569
-5.1167313,-6.0392433,4.7324905
-5.0652379,-5.8416760,4.7621240
-5.0254071,-5.6483890,4.7917576
-4.9945991,-5.4599224,4.8213912
-4.9698764,-5.2743796,4.8477324
-4.9479360,-5.0745532,4.8468614
-4.9326324,-4.8782617,4.8459904
-4.9253529,-4.6820183,4.8451194
-4.9274843,-4.4823365,4.8442484
-4.9394906,-4.2853538,4.7811047
-4.9585920,-4.0923680,4.6478719
-4.9814322,-3.8944939,4.5146390
-5.0041479,-3.6932793,4.3814062
-5.0228756,-3.4902723,4.2481734
-5.0338116,-3.2859422,4.1299080
-5.0345646,-3.0807888,4.0407961
-5.0252580,-2.8783586,3.9516842
-5.0063941,-2.6800856,3.8625723
-4.9784752,-2.4874041,3.7734603
-4.9404352,-2.2947428,3.6923260
-4.8891227,-2.0938511,3.6310027
-4.8286144,-1.9021964,3.5696795
-4.7599559,-1.7189117,3.5083562
-4.6841933,-1.5431297,3.4470330
-4.5966526,-1.3631237,3.4481726
-4.5009165,-1.1877761,3.4618554
-4.3976588,-1.0186093,3.4755382
-4.2865117,-0.8548741,3.4892210
-4.1697270,-0.6991316,3.5426043
-4.0458608,-0.5483173,3.6126858
-3.9135444,-0.3999942,3.6827672
-3.7724373,-0.2531621,3.7528487
-3.6303686,-0.1145786,3.8429475
-3.4902664,0.0142276,3.9578248
-3.3418704,0.1423964,4.0727021
-3.1844558,0.2694532,4.1875795
-3.0172977,0.3949239,4.3024568
-2.8521924,0.5100879,4.4133097
-2.6875297,0.6188285,4.5216805
-2.5188391,0.7272272,4.6300513
-2.3488949,0.8361705,4.7384221
-2.1804710,0.9465449,4.8467929
-2.0149948,1.0601860,4.9384827
-1.8503126,1.1806759,4.9615938
-1.6913977,1.3037304,4.9847050
-1.5371410,1.4287391,5.0078162
-1.3864331,1.5550916,5.0309274
-1.2381649,1.6821774,5.0540386
-1.0908150,1.8101955,4.9253369
-0.9443316,1.9399034,4.7957588
-0.7982508,2.0728743,4.6661807
