-6.4539841,-6.1023744,2.3782782
-6.5238880,-5.8910386,2.3663177
-6.5733859,-5.6866582,2.3543572
-6.6030140,-5.4885105,2.3423967
-6.6133086,-5.2958732,2.3304362
-6.6048059,-5.1080236,2.3184757
-6.5780421,-4.9242392,2.3065152
-6.5335534,-4.7437976,2.2945546
-6.4640180,-4.5464715,2.2693944
-6.3750007,-4.3549285,2.2431082
-6.2699667,-4.1755767,2.2168220
-6.1518620,-4.0130743,2.1905359
-6.0236329,-3.8720796,2.1642497
-5.8882254,-3.7572509,2.1379635
-5.7144372,-3.6568696,2.1095076
-5.5175935,-3.5927811,2.0797549
-5.3221470,-3.5621288,2.0500022
-5.1326534,-3.5470167,2.0202495
-4.9513792,-3.5292246,1.9926421
-4.7588866,-3.4919975,1.9888319
-4.5723249,-3.4510022,1.9850217
-4.3788954,-3.4261170,1.9812115
-4.1775916,-3.4354313,1.9849626
-4.0157778,-3.4708074,2.0260141
-3.8448648,-3.5322858,2.0670656
-3.6694533,-3.6207397,2.1081172
-3.4941439,-3.7370422,2.1491687
-3.3235374,-3.8820664,2.1902202
-3.1797056,-4.0355380,2.2269744
-3.0621245,-4.1879153,2.2595127
-2.9544376,-4.3541184,2.2920510
-2.8585625,-4.5312598,2.3245894
-2.7764168,-4.7164519,2.3571277
-2.7099180,-4.9068074,2.3896661
-2.6609838,-5.0994388,2.4222044
-2.6310459,-5.2963015,2.4520062
-2.6227206,-5.5063481,2.4723299
-2.6378590,-5.7106838,2.4926536
-2.6743980,-5.9075305,2.5129773
-2.7302748,-6.0951103,2.5333010
-2.8034266,-6.2716453,2.5536247
-2.8917902,-6.4353574,2.5739483
-3.0032798,-6.5975917,2.5514558
-3.1337464,-6.7481688,2.5091777
-3.2774916,-6.8821102,2.4668996
-3.4328535,-7.0011203,2.4246214
-3.5981707,-7.1069037,2.3823433
-3.7717814,-7.2011646,2.3400652
-3.9607637,-7.2893850,2.3407133
-4.1538423,-7.3679051,2.3452090
-4.3459844,-7.4370416,2.3497047
-4.5329406,-7.4975052,2.3542005
-4.7104616,-7.5500066,2.3586962
-4.8918073,-7.5995696,2.3797224
-5.0774060,-7.6358668,2.4213018
-5.2538093,-7.6329782,2.4628811
-5.4319911,-7.5712114,2.5044605
-5.6166734,-7.4366289,2.5432070
-5.7281196,-7.3238707,2.5432070
-5.8433009,-7.1871391,2.5432070
-5.9593809,-7.0307030,2.5432070
-6.0735230,-6.8588317,2.5432070
-6.1828909,-6.6757941,2.5432070
-6.2846480,-6.4858593,2.5432070
-6.3759579,-6.2932964,2.5432070
-6.4539841,-6.1023744,2.3782782
